id,date,NH4,BSK5,Suspended,O2,NO3,NO2,SO4,PO4,CL
2,07.04.2010,0.14,1.18,12.8,11.95,7.6,0.027,82.56,0.088,40.6
2,07.07.2010,0.02,0.83,11.6,8.12,4.38,0.034,60.8,0.55,36.9
2,05.10.2010,0,1.39,15.75,7.75,1.68,0.06,65.9,0.321,39.7
2,10.01.2011,0.05,2.2,2.4,12.84,5.71,0.038,70.4,0.36,43.95
2,07.04.2011,0.124,2.62,8.4,11.74,7.1,0.039,77.44,0.03,43.96
2,02.08.2011,0.086,1.61,3.2,6.74,0.93,0.052,83.84,0.44,44.66
2,10.10.2011,0.025,0.91,15.75,7.84,5.65,0.056,69.76,0.238,46.8
2,10.01.2012,0,1.13,0,12.92,6.08,0.036,105.6,0.28,49.63
2,11.04.2012,0.024,1.83,10.4,11.2,4.47,0.045,69.8,0.078,45.38
2,08.08.2012,0.092,1.35,14.4,8.75,0.82,0.039,134.4,0.86,51.04
2,06.11.2012,0.021,1.9,13.2,9.27,3.3,0.01,93.44,0.38,51.05
2,08.01.2013,0.07,1.34,0,13.52,6.67,0.03,114,0.48,55.3
2,02.04.2013,0.07,2.34,5.6,12.45,6.53,0.03,70.4,0.1,42.5
2,12.08.2013,0,1.79,0,7.15,1.25,0.021,76.16,0.48,45.38
2,04.10.2013,0.084,1.45,0,10.03,2.12,0.035,64,0.42,41.83
2,14.01.2014,0,1.68,2.8,13.54,2.01,0.04,77.44,0.3,45.38
2,08.04.2014,0.07,1.24,6.3,12.93,1.85,0.05,89.3,0.09,48.2
2,04.07.2014,0.059,20.05,0,9.03,0.96,0.041,75.6,0.46,43.6
2,02.10.2014,0.093,1.31,0,9.7,2.2,0.037,61.44,0.4,42.54
2,20.01.2015,0,2.26,0,12.83,3.56,0.03,104.96,0.291,56.72
2,15.04.2015,0,1.79,7.2,11.46,2.2,0.028,82.56,0.118,49.63
2,15.07.2015,0.286,2.15,0,8.95,1.53,0.06,84.48,0.438,49.64
2,08.10.2015,0.089,1.85,4.3,10.26,0.86,0.035,71.7,0.087,42.54
2,14.01.2016,0,2.13,0,13.19,1.43,0.05,99.2,0.401,66.08
2,20.04.2016,0.088,3.69,7.5,9.13,4.32,0.042,108.8,0.157,50.94
2,13.07.2016,0,2.98,6.4,5.08,1.43,0.08,113.92,0.752,44.93
2,13.10.2016,0.39,0.97,0,8.16,0.85,0.057,85.12,0.68,54.05
2,02.02.2017,0,2.22,0,12.06,8,0.038,89.6,0.691,58.26
2,05.04.2017,0,1.92,0,10.75,2.76,0.008,70.4,0.11,46.33
2,04.07.2017,0.1,1.15,0,5.16,0.53,0.02,96,0.51,53.35
2,25.07.2017,0.032,3.62,20.4,8.61,0.57,0.018,114.56,0.55,51.94
2,18.10.2017,0,1.4,0,8.98,1,0.025,115.2,0.811,57.29
2,10.01.2018,0,1.52,0.8,15.24,5.32,0.023,115.2,0.324,51.95
2,10.04.2018,0.15,2.19,4.8,17.73,2.31,0.031,108.8,0.004,52.27
