city,date,Pb,Cu
F,02/10/2015,0.121,0.89
F,04/12/2015,0.556,4.76
F,06/01/2016,0.024,1.74
F,11/12/2015,0.7,1.66
F,14/11/2015,2.856,4.08
F,16/01/2016,1.856,5.3
F,21/11/2015,0.342,0.73
F,23/01/2016,0.017,3.57
F,29/12/2015,0.307,4.33
F,30/10/2015,0.402,2.77
F,30/12/2015,0.647,2.81
